,track_name,artist_name,youtube_views,youtube_likes,youtube_favourites,youtube_comments
0,One Right Now (with The Weeknd),Post Malone,126618090,2977580,0,104760
1,dancing in the kitchen,LANY,42519900,1020850,0,41860
2,Sheesh!,Surfaces,12180970,252720,0,13190
3,Can I Get It,Adele,52026180,1012500,0,22110
4,Black And White,Niall Horan,126128120,4259400,0,169780
5,Take My Breath,The Weeknd,1072699700,15276910,0,595280
6,SUPERBLOOM,MisterWives,1087002,21906,0,800
7,Shivers,Ed Sheeran,1654463310,17533800,0,509840
8,Let's go to Hell,Tai Verdes,1090460,18340,0,260
9,OK Not To Be OK,Marshmello,108746520,2384720,0,31960
10,Light Switch,Charlie Puth,550438290,15734510,0,565450
11,3 Nights,Dominic Fike,410962990,5261430,0,113830
12,Wave of You,Surfaces,9209560,155260,0,6100
13,Fancy Like,Walker Hayes,769552080,5760930,0,225350
14,Watermelon Sugar,Harry Styles,2883769160,57945050,0,2073930
15,Lost,Maroon 5,263204150,4713530,0,123430
16,Head & Heart (feat. MNEK),Joel Corry,2328607480,9830060,0,202310
17,Leave Before You Love Me (with Jonas Brothers),Marshmello,867808570,9273850,0,246770
18,The Bones - with Hozier,Maren Morris,121348830,745600,0,10670
19,Heartbreak Anthem (with David Guetta & Little Mix),Galantis,427716550,5420370,0,403190
20,Love Again,Dua Lipa,1597556210,19390730,0,672450
21,Joy,Andy Grammer,316810,16100,0,1020
22,Glad You Exist,Dan + Shay,129104490,886220,0,19340
23,My Universe,Coldplay,1917765650,81605610,0,4220280
24,Message In A Bottle (Taylor's Version) (From The Vault),Taylor Swift,59548370,1330680,0,46890
25,STAY (with Justin Bieber),The Kid LAROI,5232250420,86698170,0,2297670
26,Share That Love (feat. G-Eazy),Lukas Graham,78010500,1443620,0,38590
27,Sunshine,OneRepublic,33002550,565000,0,12340
28,Electric Love,BØRNS,1250448340,17143620,0,392820
29,Fly Away,Tones And I,83004100,593330,0,11910
30,A-O-K,Tai Verdes,88203820,2254580,0,44990
31,Chasing Stars (feat. James Bay),Alesso,51644780,694620,0,17190
32,seaside_demo,SEB,3687,148,0,3
33,Safe With Me (with Audrey Mika),Gryffin,14308240,347710,0,7080
34,Save Your Tears (with Ariana Grande) (Remix),The Weeknd,1997663290,30288380,0,919300
35,Levitating (feat. DaBaby),Dua Lipa,5032276650,57717840,0,1369280
36,Sunroof,Nicky Youre,7206940,385240,0,8310
37,Better Days (NEIKED x Mae Muller x Polo G),NEIKED,164793460,2828390,0,97540
38,Conversations in the Dark - John Legend vs. David Guetta,John Legend,7874500,92580,0,1450
39,Blueberry Eyes (feat. SUGA of BTS),MAX,438718150,24603220,0,1281700
40,Someone To You,BANNERS,234951010,3700350,0,96970
41,Put Your Records On,Ritt Momney,117330560,2274870,0,76820
42,Cloudy Day,Tones And I,23860370,374250,0,12100
43,You Were Loved (with OneRepublic),Gryffin,11350580,447860,0,8270
44,Lil Bit,Nelly,192528550,1973510,0,47400
45,Little Bit of Love,Tom Grennan,343481560,2386910,0,48010
46,Heat Waves,Glass Animals,2524568090,43112960,0,867500
47,Way Less Sad,AJR,168174080,2691140,0,136430
48,THATS WHAT I WANT,Lil Nas X,289769800,2717570,0,39290
49,Dandelions,Ruth B.,492480990,5194680,0,76940
50,WHERE WE ARE,The Lumineers,7990070,226540,0,5130
51,Dancing Feet (feat. DNCE),Kygo,45299200,720550,0,18150
52,Stay Next To Me (with Chelsea Cutler),Quinn XCII,12365960,171890,0,6310
53,Cold Heart - PNAU Remix,Elton John,2333816600,18451780,0,375550
54,Bam Bam (feat. Ed Sheeran),Camila Cabello,395195340,10644350,0,286360
55,Anyone,Justin Bieber,182109740,1671950,0,30210
56,Meet Me At Our Spot,THE ANXIETY,830697130,16674980,0,385240
57,Clarity,Vance Joy,1056570,51650,0,2470
58,Mariposa,Peach Tree Rascals,572240460,7474120,0,145560
59,You (with Marshmello & Vance Joy),benny blanco,35198730,680410,0,21200
60,Be Like That - feat. Swae Lee & Khalid,Kane Brown,635443040,6388090,0,123480
61,Let's Fall in Love for the Night,FINNEAS,248642580,8072970,0,172230
62,All I Know So Far,P!nk,90332120,1980890,0,100420
63,Where Are You Now,Lost Frequencies,516182520,4925730,0,53470
64,I AM WOMAN,Emmy Meli,111784700,1370510,0,18480
65,When I’m Gone (with Katy Perry),Alesso,190226770,4863170,0,664300
66,For Tonight,Giveon,45804660,458960,0,4800
67,Overpass Graffiti,Ed Sheeran,464777840,4012020,0,139550
68,Catching Feelings (feat. Six60),Drax Project,35994660,275690,0,6550
69,West Coast,OneRepublic,37088440,819430,0,19600
70,I Like That,Bazzi,36760840,644160,0,16480
71,Summer of Love (Shawn Mendes & Tainy),Shawn Mendes,289171120,6651150,0,252480
72,Make You Mine,PUBLIC,1471862440,26798800,0,487180
73,Big Energy,Latto,182172120,2890550,0,101280
74,Wild (feat. Gary Clark Jr.),John Legend,133994760,2704250,0,69540
75,Acapulco,Jason Derulo,367956290,4562910,0,89860
